Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
155,13.8,0,1
156,13.8,0,0
157,11.164723670049518,3,4
158,9.627308552926124,2,1
159,11.56482052958491,1,4
160,5.410432554332628,4,0
161,12.259335340432736,3,0
162,13.8,0,1
164,13.104017017822397,2,5
165,10.71425401075792,3,2
167,4.291913083776049,3,3
173,11.903627662592406,3,2
177,13.056632387368863,3,1
178,12.445128288561726,4,1
179,9.78178393942305,2,2
181,12.804875891454154,4,2
186,12.445128288561726,1,2
188,9.92715903124954,3,3
189,11.164723670049518,2,0
192,9.017171205041503,4,1
194,11.766835879457043,4,4
196,4.914126740144443,1,4
200,9.462953435380172,4,0
202,12.77131608967524,4,3
206,13.198853574391512,1,0
208,10.555201291724902,5,5
215,13.8,0,0
216,13.8,0,2
221,13.010124756583883,4,2
224,9.462953435380172,3,0
231,11.766835879457043,4,4
238,13.8,0,0
241,11.317040961531216,5,4
242,13.8,0,0
243,13.8,0,0
244,13.14922900936169,1,1
246,13.8,0,0
247,12.698000090258518,2,5
254,11.56482052958491,4,3
255,11.317040961531216,4,4
260,12.62066479053492,3,0
265,13.8,0,0
267,12.031032769266922,2,2
274,13.8,0,0
281,13.8,0,0
288,13.8,0,0
292,10.083061130481992,4,2
298,13.8,0,0
304,13.8,0,0
308,13.8,0,0
317,11.56482052958491,6,0
322,13.8,0,0
327,13.14922900936169,1,3
17185,2.2147095901433502,8,9
17186,1.4173900744546557,19,28
17187,1.8821674208090837,4,4
17188,3.693728374563479,15,7
17189,12.698000090258518,6,4
17190,10.860805387276075,7,8
17191,7.314853196564868,8,3
17192,11.007950132808553,8,5
17193,1.8821674208090837,5,4
17194,13.8,0,0
17195,3.1365850089211675,4,3
17196,11.903627662592406,4,4
17197,11.007950132808553,1,4
17198,8.21393431111962,5,11
17199,7.950232596370229,5,6
17200,11.007950132808553,5,0
17201,1.2972064222772546,2,3
17202,8.356294756117382,6,2
17203,6.829554589521826,2,3
17204,13.230111772921886,1,3
17205,7.1271910119321165,4,3
17206,11.164723670049518,4,3
17207,12.62066479053492,3,3
17208,4.126382949614405,21,1
17209,9.155686374365665,3,4
17210,12.698000090258518,5,0
17211,5.866461537501614,5,1
17212,12.894981355405132,3,1
17213,11.007950132808553,5,4
17214,10.398502407966777,3,5
17215,5.202907732559084,6,2
17216,6.343349487178175,5,2
17217,11.766835879457043,3,2
17218,7.450283783623472,2,3
17219,11.164723670049518,5,6
17220,8.688041270237905,3,4
17221,9.78178393942305,5,4
17222,11.766835879457043,3,3
17223,9.155686374365665,5,2
17224,12.894981355405132,2,6
17225,8.356294756117382,10,2
17226,9.389280682850277,3,2
17227,3.1365850089211675,3,20
17228,13.198853574391512,2,4
