Star ID,Mass [Solar Mass],Radius [Solar Radius],g band,r band,Temperature [K],Age [Gyr]
4471367684526221952,0.53911006,0.5291475,13.692547,12.627869,3749.9844,12.853454
3187720810081232896,0.9690559000000001,1.0157046,9.341086,8.856503,5712.3457,6.771190600000001
4644507230791149952,1.0424669,1.0433224,9.188247,8.704688,5887.1885,3.6551839999999998
371144105622104448,1.231219,1.3226908000000002,8.312303,7.9303675,6398.3037,2.181391
2689042503919688704,1.6779501,1.9391898999999997,6.831580000000001,6.600784299999999,7440.326999999999,1.093907
2016982720280081024,1.091234,1.2334825,8.688671000000001,8.253975,6041.8164,5.048918700000001
5663566325748311552,1.3282081000000001,1.4962845,7.859525,7.492592299999999,6607.085999999999,1.9840755
6687088948287932416,0.7613009,0.7491953,10.89504,10.241807000000001,4807.9307,11.022806
1628031375302049536,0.92575544,1.0469273000000001,9.417703,8.881681,5627.02,10.499186
3776721977831145088,0.6350918000000001,0.6216611,12.683415,11.746638,4128.3003,12.252905
541294698253570560,0.9268388000000001,1.0471269,9.331344,8.823293,5629.8013,10.417530000000001
85715697414051072,0.83959347,0.8844086999999999,10.00577,9.430893,5285.103,12.4659195
6140521889918048000,0.73176473,0.6958585,11.642933,10.838277,4576.2837,6.691833
3345757292835295872,0.9093419,0.9394355,9.727436,9.176778,5515.5740000000005,8.504186
6326731678799555968,0.9605834000000001,1.0642116000000001,9.241152,8.740383999999999,5719.446999999999,8.4759445
2191984804893358848,0.9688958000000001,1.3643782,8.754049,8.249236,5669.7744,11.698887
525994375480965504,0.5406513000000001,0.53263474,13.599091,12.548035,3750.0234,12.884319999999999
2621726618200050816,1.5044701,1.63778,7.4026065,7.1272287,7124.3857,1.1384922
2265273989384251776,0.91076773,0.872014,10.020278999999999,9.444192,5426.916,5.1796184
571770239996763264,1.105297,1.315819,8.56829,8.126946,5995.6772,5.555715599999999
4008571356215936896,1.8427001,2.1208088,6.4131384,6.245359400000001,7911.4277,0.88442016
5675064601738242688,0.98333603,1.0454172,9.2190275,8.740333,5766.1216,6.6942883
1233749082561674752,1.2295011,1.9708150000000002,7.8325033,7.3537526,5981.11,4.8557515
3494462568294222080,0.70844036,0.6470005999999999,11.977375,11.143466,4416.08,0.42606413
6239341876151291776,0.58848923,0.5424515000000001,13.147819,12.156425,4831.5109999999995,6.307244
4184459200529966720,0.74051225,0.6709539000000001,11.47856,10.756642,4559.0693,0.39389440000000003
3707398766133056256,0.6107759,0.6861060999999999,13.4858055,12.356258,3741.0603,9.645783
4600407198087126528,0.98527116,0.9651847,9.385052,8.895223,5703.3240000000005,4.299925
1407678284339274368,1.008359,1.1350273000000002,9.017033,8.546037,5852.451,7.178679499999999
3011289600875300224,0.9870478000000001,1.0186465,9.336598,8.834908500000001,5756.57,5.828419
1718005305156264704,1.5485364,1.8675343999999998,7.140454300000001,6.852161,7005.643,1.4492795
1300615018920948480,1.3458472,1.6925961999999999,7.729286699999999,7.359035499999999,6433.2534,2.6316829
1874775665909302528,1.034726,0.99871993,9.269509,8.798073,5836.5723,2.8207955
3385405205392317184,0.74893934,0.75287753,10.957229,10.281115,4774.8486,13.392396
400997426865685632,0.908949,1.1185523000000002,9.238248,8.720889999999999,5554.471,12.949164
3426615962056606848,1.1819046,1.3434732,8.343752,7.936215400000001,6224.3,3.4565148
6681536659379899264,0.55013335,0.5435460999999999,13.503160000000001,12.459869,3781.1516,13.481819
3433139678079221376,1.0290366,1.0082618,9.575163,9.111505000000001,5832.8916,3.3742379999999996
5700299115150628096,1.2843672,1.67144,8.258100500000001,7.841872,6194.313,3.461813
2545298744616434944,0.96882385,0.9709119,9.557961,9.058721,5672.1997,5.4251127
3930643332158890240,0.7344622,0.6790096999999999,11.524133,10.763387,4536.816,2.417173
3910446059470331392,0.9401921999999998,1.0661923,9.304895,8.794130000000001,5664.715999999999,9.915776
5130120151950490752,1.1391898,1.1558523,8.725976,8.308202,6149.649,2.3034096
3961830154846485760,2.170562,2.3434925,5.7520565999999995,5.6975964999999995,8854.578000000001,0.55758864
2065938200628702976,1.1711586,6.871688000000001,6.3711853,5.6683517,4601.3516,6.7217493
786816641173825280,0.95117795,0.86874646,9.933689999999999,9.381136,5503.4424,1.9725173999999999
2963450094767464960,0.5325205,0.52368903,13.702620000000001,12.639596000000001,3730.5845,13.138988500000002
3539259626947845504,0.98209715,1.0197674,9.307888,8.829476,5745.7153,6.1230965
905853343401723904,0.52811044,0.5201773000000001,13.664382999999999,12.596124,3713.8325,12.196114999999999
1217976828780922624,0.5651191,0.5205455,13.423756,12.41518,3863.847,0.29425812
2908625902385626624,0.54962605,0.61279607,13.465844,12.378639,3568.6038,12.276439
3833652765771880704,1.0008779,0.91221726,9.652092999999999,9.134583000000001,5679.1167,1.3858932
2552457145132090624,1.3284658,1.7620909,7.737306599999999,7.336798700000001,6256.709,3.1072645
339966731862647040,0.5843835000000001,0.6756864,13.21904,12.106175,3543.7478,11.040767
3118537378097352192,0.9869950999999999,0.8947655999999999,9.793142,9.255955,5623.728,1.2700067
2164056281848376448,1.0128268,0.9251921999999999,9.638339,9.114688000000001,5717.6665,1.3097604999999999
3706779775447022976,1.0017631999999999,0.9543472,9.516182,9.00195,5730.865,3.0581977000000005
6320832352240624128,1.1237689,1.1626553999999998,8.747842,8.324752,6115.904,2.8863168
986446858524398592,1.2827103000000002,1.5033094999999999,7.9372883000000005,7.5299606,6431.6787,2.6692667
4834334962685199744,0.8683812,0.94591224,9.737051,9.209825,5433.8594,12.248058
1416736026769322752,0.7181883000000001,0.6540315,11.949883999999999,11.110897999999999,4458.448,0.41259239999999997
1861814897735582464,0.8194379,0.7294983,10.886619,10.239861,4917.7236,0.33530912
3511239565249668480,0.62014955,0.5771801,12.964019,11.940533,4131.275,0.69727224
2680048945480745472,0.54995817,0.60655814,13.701834,12.577114,3579.6663,13.3773155
497253382046689664,1.0076356,1.3124790000000002,8.738494000000001,8.269133,5911.783,9.356469
3496674472155863936,1.0980591999999998,1.5407701999999999,8.288901,7.836374799999999,5931.125,7.018983
5272579853475453440,0.5470524,0.5586563,13.611766000000001,12.539646000000001,3706.8867,13.264062
1131844729991958016,0.59842354,0.65440583,13.294758999999999,12.219157000000001,3722.0212,8.541883
333805652816046592,0.6115801,0.5797319000000001,12.993198,11.977397,3991.6475,2.6107445
