Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
202666,4234112000.0,-17.060354,-17.891611,0.12236374616622925
204234,483087350000.0,-21.659334,-22.46222,0.2243366241455078
204235,57761497000.0,-20.090385,-20.8641,0.02876192331314087
204236,41865280000.0,-21.032742,-21.462278,0.9947845339775085
204237,51141284000.0,-20.149668,-20.87874,0.3478982448577881
204238,69988730000.0,-20.280313,-21.05089,0.9008240699768066
204239,13738914000.0,-20.592934,-20.812847,0.99683678150177
204240,10213391000.0,-19.041174,-19.658184,0.521218478679657
204241,13055352000.0,-18.795246,-19.545929,0.35919708013534546
204242,3676782000.0,-18.687006,-19.103508,0.5964109897613525
204243,5182063000.0,-17.89613,-18.590376,0.20896556973457336
204244,6745213000.0,-17.905216,-18.658564,0.5260220170021057
204245,11121306000.0,-18.607626,-19.352936,0.7725691795349121
204248,8776347000.0,-18.959707,-19.501791,0.9032325744628906
204250,5953446400.0,-17.847357,-18.596508,0.46189144253730774
204251,8008733700.0,-18.035957,-18.805368,0.4729078412055969
204252,8982122000.0,-18.049835,-18.842178,0.20142564177513123
204254,5233183000.0,-17.804443,-18.542063,0.5620614886283875
204255,3981734700.0,-17.630676,-18.351978,0.39921116828918457
204263,4630947000.0,-17.355997,-18.143188,0.6488471627235413
206226,958802900000.0,-22.17396,-22.980589,0.010831385850906372
206227,43410410000.0,-19.997133,-20.760878,0.03525283932685852
206228,42809287000.0,-19.843983,-20.628971,0.17279446125030518
206229,27492385000.0,-19.028593,-19.84925,0.18191632628440857
206230,17099476000.0,-20.32564,-20.665657,0.8424342274665833
206232,6573006000.0,-18.127308,-18.854805,0.11702844500541687
207473,608636760000.0,-22.294836,-23.011248,0.8373182415962219
207474,30880977000.0,-20.136248,-20.685677,0.17717856168746948
207475,27011070000.0,-20.138493,-20.708872,0.9825982451438904
207476,35383886000.0,-19.515917,-20.30079,0.03687170147895813
207477,35713892000.0,-19.678265,-20.460217,0.5344160795211792
207478,11085524000.0,-18.94197,-19.590614,0.6905749440193176
207479,4511447600.0,-19.612455,-19.82544,0.9908331632614136
207480,15061943000.0,-18.448664,-19.267422,0.35819321870803833
207481,10472030000.0,-18.059164,-18.878025,0.4165392518043518
207484,10203201000.0,-18.10862,-18.912788,0.3857956528663635
207487,5258752500.0,-17.885935,-18.60851,0.3888736367225647
207488,3819696000.0,-17.41036,-18.147001,0.4070596396923065
207489,3043323600.0,-17.778502,-18.393314,0.3369322419166565
208781,426418140000.0,-21.832413,-22.561365,0.9240210056304932
208782,319932830000.0,-21.666994,-22.418314,0.3712005615234375
208783,112934890000.0,-20.567564,-21.359499,0.0576593279838562
208784,98319300000.0,-20.519732,-21.309347,0.017605692148208618
208785,13059526000.0,-19.226961,-19.802008,0.788240909576416
208786,20250495000.0,-19.38869,-19.917324,0.48683151602745056
208787,25841291000.0,-19.312487,-20.090405,0.11204525828361511
208788,3211839700.0,-18.211668,-18.690912,0.34650322794914246
208789,6097706000.0,-18.060345,-18.673838,0.6216259598731995
208797,3802028800.0,-17.354313,-18.081951,0.33230429887771606
208798,5867366400.0,-17.797075,-18.549927,0.5181970596313477
208800,3908176600.0,-17.51057,-18.224415,0.913665771484375
208803,6344055000.0,-17.600573,-18.21308,0.450408399105072
210763,166793150000.0,-20.703804,-21.486048,0.04077371954917908
210764,460088080000.0,-21.749031,-22.556503,0.023908287286758423
210765,187360220000.0,-21.358673,-22.064644,0.7417609691619873
210766,122608730000.0,-20.770916,-21.524094,0.40023452043533325
210767,82444870000.0,-20.386093,-21.167135,0.38052868843078613
210768,31427185000.0,-19.434351,-20.205048,0.11819371581077576
210769,28192268000.0,-20.3137,-20.759785,0.9801132678985596
210770,55530290000.0,-20.049084,-20.837137,0.0768519937992096
210771,13365542000.0,-18.74732,-19.458376,0.4353717267513275
210772,6094377000.0,-18.523582,-19.088188,0.40319836139678955
210773,4062195200.0,-18.398296,-18.846903,0.5685731172561646
210775,3085090300.0,-18.357325,-18.774817,0.1769481897354126
210779,4178402300.0,-18.060402,-18.631765,0.6750110387802124
210780,9831039000.0,-18.72492,-19.372496,0.42927461862564087
210783,6576295400.0,-18.260757,-18.90607,0.35713404417037964
210786,8139862500.0,-19.054768,-19.550236,0.733108401298523
210788,7038821400.0,-18.317999,-19.024693,0.8872652053833008
210792,3368052000.0,-17.311987,-18.051172,0.49007612466812134
210798,3383239700.0,-17.024952,-17.797485,0.5450409054756165
212836,647983460000.0,-21.90614,-22.724846,0.0362490713596344
212837,136876720000.0,-20.750216,-21.542822,0.10899963974952698
212838,96431370000.0,-22.136374,-22.512197,0.9999991059303284
212839,14843853000.0,-19.69845,-20.213451,0.6763291954994202
212840,44303868000.0,-20.06129,-20.811462,0.11690568923950195
212841,27497585000.0,-19.797535,-20.393347,0.4851311147212982
212842,5785074700.0,-19.030104,-19.438843,0.6201158761978149
212843,18891020000.0,-19.394323,-19.969519,0.6809740662574768
212844,8658549000.0,-18.994162,-19.53424,0.428491473197937
212846,9495320000.0,-18.959366,-19.531971,0.8302615880966187
212847,9295650000.0,-18.626308,-19.27027,0.6998485326766968
212848,10551366000.0,-18.881754,-19.453114,0.35498958826065063
212849,4509484500.0,-17.542337,-18.284143,0.3557322919368744
212850,3748707300.0,-17.262636,-18.015112,0.43570131063461304
212851,3180280000.0,-17.390215,-18.092346,0.5996561646461487
212855,4466598400.0,-18.016283,-18.717054,0.42112433910369873
212857,4828957700.0,-17.220644,-18.048277,0.35156261920928955
212859,3253756700.0,-16.857134,-17.676083,0.5368351936340332
214452,500889650000.0,-21.670689,-22.458805,0.24975773692131042
214453,111729525000.0,-21.377161,-22.038939,0.6616387367248535
214454,117850950000.0,-21.11163,-21.738894,0.988927960395813
214455,68460310000.0,-20.252636,-21.039133,0.44092249870300293
214456,61573894000.0,-20.157288,-20.933735,0.11337748169898987
214457,41604985000.0,-20.19329,-20.86809,0.3697262406349182
214458,12484614000.0,-18.76458,-19.45459,0.49456173181533813
214459,27324893000.0,-19.765806,-20.434628,0.08526310324668884
214460,7139078700.0,-18.224617,-18.924295,0.6231241822242737
214461,7231478000.0,-18.53314,-19.153341,0.37308186292648315
214462,9776067000.0,-19.42482,-19.843937,0.22627487778663635
214463,3154497800.0,-18.152,-18.624973,0.4817793369293213
214464,3446579700.0,-17.817686,-18.380253,0.39667174220085144
214465,3602680800.0,-17.541803,-18.261135,0.4254196584224701
214468,4994405000.0,-17.447914,-18.21987,0.2882990837097168
214470,5176017000.0,-17.583036,-18.352701,0.4637264609336853
214474,4127860000.0,-17.193382,-17.973837,0.5452669858932495
214483,3046311400.0,-17.24301,-17.988747,0.290977418422699
216016,443016680000.0,-21.777899,-22.50549,0.7399944067001343
216017,104490980000.0,-20.835955,-21.599354,0.007758051156997681
216018,27887559000.0,-19.745018,-20.46899,0.2968352138996124
216019,17397713000.0,-19.60967,-20.155293,0.8081515431404114
216020,27993496000.0,-19.223927,-20.032534,0.16052180528640747
216021,7301659000.0,-18.990597,-19.431822,0.7836333513259888
216023,3071464700.0,-18.608492,-18.975094,0.6493381857872009
216024,7495038000.0,-18.246893,-18.894636,0.48723042011260986
216025,3233691000.0,-18.138828,-18.582674,0.5240969657897949
216026,12826753000.0,-18.584126,-19.351574,0.3623678684234619
