Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
17252,9.155686374365665,7,3
17262,10.71425401075792,3,5
17271,10.860805387276075,7,1
17274,7.5813644077819715,4,2
17280,12.894981355405132,2,1
17292,11.903627662592406,3,2
17295,9.462953435380172,2,1
17298,11.766835879457043,3,2
17299,12.182845139342968,2,1
17312,3.9566148760250575,3,1
17315,4.764322389615255,2,4
17325,11.472636476156389,1,4
17326,13.8,0,0
17328,10.71425401075792,3,2
17329,11.766835879457043,1,3
17351,12.77131608967524,2,3
17356,8.559304846246299,2,0
17357,13.8,0,2
17358,11.007950132808553,7,3
17379,11.164723670049518,2,2
17382,13.8,0,0
17385,6.511025527436423,4,3
17387,9.92715903124954,4,2
17390,12.62066479053492,3,6
17399,11.317040961531216,1,2
17414,12.031032769266922,2,2
17432,11.903627662592406,2,1
17441,6.511025527436423,5,0
17449,13.8,0,2
17467,11.766835879457043,6,1
17468,8.841999739310916,3,3
17473,13.010124756583883,1,1
17474,10.228946019806829,3,0
17513,13.8,0,0
17536,7.950232596370229,1,0
17544,13.8,0,1
17570,5.61056555205565,3,0
17591,12.894981355405132,3,1
17592,11.164723670049518,4,6
17593,11.164723670049518,5,5
17596,13.8,0,3
17601,11.56482052958491,2,1
17615,13.8,0,0
17654,13.8,0,0
17663,10.228946019806829,1,0
17725,12.445128288561726,2,3
17760,9.92715903124954,3,1
17774,12.977660855576495,1,1
17842,12.804875891454154,1,0
31342,0.001,28,15
31351,13.056632387368863,3,4
31353,10.860805387276075,6,3
31356,9.78178393942305,4,2
31362,12.977660855576495,3,4
31364,13.010124756583883,2,3
31366,13.010124756583883,4,2
31371,11.903627662592406,4,6
31373,11.164723670049518,8,6
31377,13.010124756583883,3,4
31387,13.331918027921478,2,3
31392,8.688041270237905,4,2
31394,6.511025527436423,9,1
31396,6.829554589521826,6,2
31402,12.182845139342968,4,2
31404,12.55480493374341,3,4
31414,10.71425401075792,5,0
31417,11.766835879457043,7,4
31473,12.62066479053492,6,1
31479,13.8,0,2
31484,12.182845139342968,1,1
31487,12.698000090258518,2,2
31489,13.8,0,3
31495,9.627308552926124,2,1
31497,12.031032769266922,1,4
31504,12.77131608967524,3,1
31523,13.8,0,0
31545,6.511025527436423,2,2
31548,10.228946019806829,5,4
31559,4.914126740144443,3,1
31566,7.790641621123916,8,2
31567,11.766835879457043,2,2
31600,13.8,0,0
31635,11.56482052958491,2,2
31682,11.164723670049518,3,8
31841,12.361172370658442,2,2
31861,11.472636476156389,2,4
41587,5.410432554332628,6,4
41594,8.841999739310916,7,10
41598,6.343349487178175,9,3
41614,3.9566148760250575,3,3
41620,12.77131608967524,2,4
41628,13.056632387368863,3,3
41642,12.977660855576495,2,2
41649,13.8,0,3
41661,10.555201291724902,2,0
41669,12.894981355405132,2,3
41670,12.445128288561726,1,4
41682,12.698000090258518,1,2
41688,12.55480493374341,5,1
41691,12.804875891454154,3,3
41694,10.860805387276075,3,3
41698,13.8,0,6
41700,7.790641621123916,4,0
41704,8.688041270237905,2,0
41711,5.740039501884972,6,0
41721,5.61056555205565,7,6
41747,9.155686374365665,7,0
41759,9.78178393942305,2,2
41765,7.790641621123916,3,1
41766,10.860805387276075,2,2
41788,7.790641621123916,5,1
41803,12.62066479053492,1,1
41810,7.1271910119321165,3,1
41822,12.031032769266922,1,1
41824,9.017171205041503,4,6
